Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",90.3250,37.4050,90.0000,top
"C2","18pF","C_0603_1608Metric",78.3750,4.9800,0.0000,top
"C3","18pF","C_0603_1608Metric",71.8000,3.8050,-90.0000,top
"C11","22uF","C_1206_3216Metric",100.2500,15.5500,90.0000,top
"C17","100nF","C_0402_1005Metric",87.2100,22.1750,0.0000,top
"C18","100nF","C_0402_1005Metric",98.5500,16.5750,90.0000,top
"C19","22uF","C_1206_3216Metric",94.0750,22.0750,0.0000,top
"C20","1uF","C_0402_1005Metric",90.3500,34.2800,90.0000,top
"C21","22uF","C_1206_3216Metric",94.0750,19.6750,0.0000,top
"C22","100nF","C_0402_1005Metric",83.3550,24.5000,180.0000,top
"C23","100nF","C_0402_1005Metric",87.2100,21.1250,0.0000,top
"C24","100nF","C_0402_1005Metric",85.1500,17.6250,90.0000,top
"C25","100nF","C_0402_1005Metric",86.5750,9.3200,-90.0000,top
"C26","100nF","C_0402_1005Metric",74.2000,18.2800,180.0000,top
"C27","100nF","C_0402_1005Metric",72.1250,8.9750,90.0000,top
"C28","100nF","C_0402_1005Metric",81.3500,5.2550,180.0000,top
"C29","2.2uF","C_0402_1005Metric",75.6050,19.7050,180.0000,top
"C30","2.2uF","C_0402_1005Metric",86.5750,16.2050,90.0000,top
"C31","2.2uF","C_0402_1005Metric",81.3500,4.2550,180.0000,top
"C34","10uF","C_0402_1005Metric",73.5000,7.3050,-90.0000,top
"D1","SS14-M3/5AT","D_SMA",84.4500,35.4050,-90.0000,top
"D2","LED Red","D_0603_1608Metric",85.3500,3.9050,90.0000,top
"D3","SS14-M3/5AT","D_SMA",93.2500,35.4050,-90.0000,top
"D4","LED Green","D_0603_1608Metric",83.8000,3.9050,90.0000,top
"J1","SM06B-SRSS-TB(LF)(SN)","JST_SM06B-SRSS-TB(LF)(SN)",69.7000,13.3050,-90.0000,top
"J2","ST-LINK_Header","PinHeader_2x03_P1.27mm_Vertical_SMD",84.6500,34.2500,-90.0000,bottom
"J3","UJ20-C-H-G-SMT-1-P16-TR","SAMESKY_UJ20-C-H-G-SMT-1-P16-TR",77.1800,39.1550,180.0000,top
"J4","SM08B-SRSS-TB(LF)(SN)","JST_SM08B-SRSS-TB(LF)(SN)",64.9500,23.6550,-90.0000,top
"J5","SM06B-SRSS-TB(LF)(SN)","JST_SM06B-SRSS-TB(LF)(SN)",96.4000,28.0050,90.0000,top
"PS1","TPSM84338RCJR","TPSM84338RCJR",95.2500,16.3125,-90.0000,top
"Q1","SS8050","SOT-23",90.1000,8.8625,0.0000,top
"R1","4.7k","R_0402_1005Metric",72.0500,13.0050,-90.0000,top
"R2","4.7k","R_0402_1005Metric",72.0500,10.9650,-90.0000,top
"R3","4.7k","R_0402_1005Metric",90.0125,11.1125,180.0000,top
"R4","680","R_0402_1005Metric",85.7000,7.5000,0.0000,top
"R5","10k","R_0402_1005Metric",98.5500,18.5750,-90.0000,top
"R6","140k","R_0402_1005Metric",96.9500,19.4750,-90.0000,top
"R7","680","R_0402_1005Metric",84.6500,6.4050,180.0000,top
"R8","10k","R_0402_1005Metric",87.6000,7.8000,90.0000,top
"R11","10k","R_0402_1005Metric",91.5375,10.4125,-90.0000,top
"R12","18k","R_0402_1005Metric",99.6500,18.8650,-90.0000,top
"R13","10k","R_0402_1005Metric",71.7500,27.2500,180.0000,top
"R14","75k","R_0402_1005Metric",71.7500,26.1550,0.0000,top
"R16","5.1k","R_0402_1005Metric",68.5400,30.4050,0.0000,top
"R17","5.1k","R_0402_1005Metric",68.5300,31.5050,0.0000,top
"S1","NO","SW_TS32-7-35-BK-B-260-RA-SMT-TR",90.7500,4.6300,0.0000,top
"U1","MPU-6500","QFN40P300X300X95-25N",83.3500,21.8500,90.0000,top
"U2","AP7375-33SA-7","AP7375-33SA-7_DIO",88.8000,35.8550,-90.0000,top
"U3","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",79.3500,12.4800,90.0000,top
"Y1","12MHz","Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm",74.7000,4.0000,180.0000,top
