Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20",0402,2,1uF,GRM155R61E105MA12D 
"C11, C19, C21",1206,3,22uF,CL31A226KAHNNNE 
C17,0402,1,100nF,
"C18, C22, C23, C24, C25, C26, C27, C28",0402,8,100nF,CL05B104KB5NNWC 
"C2, C3",0603,2,18pF,0402N180F500CT 
"C29, C30, C31",0402,3,2.2uF,LMK105BJ225MV-F 
C34,0402,1,10uF,CL21A106KQFNNWE 
"D1, D3",D_SMA,2,SS14-M3/5AT,SS14-M3/5AT
D2,0603,1,LED Red,LTST-C190EKT 
D4,0603,1,LED Green,LTST-C190GKT 
"J1, J5",JST_SM06B-SRSS-TB(LF)(SN),2,SM06B-SRSS-TB(LF)(SN),SM06B-SRSS-TB(LF)(SN)
J2,JST_SM08B-SRSS-TB(LF)(SN),1,SM08B-SRSS-TB(LF)(SN),SM08B-SRSS-TB(LF)(SN) 
J3,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,UJ20-C-H-G-SMT-1-P16-TR
PS1,TPSM84338RCJR,1,TPSM84338RCJR,TPSM84338RCJR
Q1,SOT-23,1,SS8050,MMSS8050-L-TP 
"R1, R2, R3",0402,3,4.7k,RCG04024K70JNED 
"R11, R13, R5, R8",0402,4,10k,0402WGF1002TCE
R12,0402,1,18k,0402WGJ0183TCE 
R14,0402,1,75k,RN73R1ETTP7502B25 
"R16, R17",0402,2,5.1k,0402WGJ0512TCE 
"R4, R7",0402,2,680,RE0402FRE07680RL
R6,0402,1,140k,CR0402-FX-1403GLF
S1,SW_TS32-7-35-BK-B-260-RA-SMT-TR,1,NO,TS32-7-35-BK-B-260-RA-SMT-TR
U1,QFN40P300X300X95-25N,1,MPU-6500,MPU-6500 
U2,AP7375-33SA-7_DIO,1,AP7375-33SA-7,Diodes Incorporated 
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,STM32F405RGT6 
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,ABM8-12.000MHZ-R100-D7G-T 
