Designator,Mid X,Mid Y,Rotation,Layer
C1,90.325,37.405,90.0,top
C11,100.25,15.55,90.0,top
C17,87.21,22.175,0.0,top
C18,98.55,16.575,90.0,top
C19,94.075,22.075,0.0,top
C2,78.375,4.98,0.0,top
C20,90.35,34.28,90.0,top
C21,94.075,19.675,0.0,top
C22,83.355,24.5,180.0,top
C23,87.21,21.125,0.0,top
C24,85.15,17.625,90.0,top
C25,86.575,9.32,270.0,top
C26,74.2,18.28,180.0,top
C27,72.125,8.975,90.0,top
C28,81.35,5.255,180.0,top
C29,75.605,19.705,180.0,top
C3,71.8,3.805,270.0,top
C30,86.575,16.205,90.0,top
C31,81.35,4.255,180.0,top
C34,73.5,7.305,270.0,top
D1,84.45,35.405,270.0,top
D2,83.75,3.9375,90.0,top
D3,93.25,35.405,270.0,top
D4,85.45,3.9375,90.0,top
J1,69.7,13.305,270.0,top
J2,65.0,23.65,270.0,top
J3,77.18,39.155,180.0,top
J5,96.4,28.005,90.0,top
PS1,95.25,16.3125,270.0,top
Q1,90.1,8.8625,180.0,top
R1,72.05,13.005,270.0,top
R11,91.5375,10.4125,270.0,top
R12,99.65,18.865,270.0,top
R13,72.0,20.5,180.0,top
R14,72.0,21.6,0.0,top
R16,68.54,30.405,0.0,top
R17,68.53,31.505,0.0,top
R2,72.05,10.965,270.0,top
R3,90.0125,11.1125,180.0,top
R4,87.05,12.95,0.0,top
R5,98.55,18.575,270.0,top
R6,96.95,20.0,270.0,top
R7,87.05,14.0,0.0,top
R8,87.6,7.8,90.0,top
S1,90.75,4.63,0.0,top
U1,83.35,21.85,90.0,top
U2,88.8,35.855,270.0,top
U3,79.35,12.48,0.0,top
Y1,74.7,4.0,180.0,top
